id,street,city,state,postalcode,Google/street,Google/city,Google/state,Google/postalcode
1205355,"1069 WALTON AVENUE",BRONX,NY,10452,"1069 Walton Avenue",Bronx,"New York",10452
1205356,"107 EAST 60TH STREET","NEW YORK",NY,,"107 East 60th Street","New York","New York",10022
1205357,"107 GREENE STREET","NEW YORK",NY,,"107 Greene Street","New York","New York",10012
1205358,"107 WEST 4TH STREET","MT. VERNON",NY,10550,"107 West 4th Street","Mount Vernon","New York",10550
1205359,"107 WEST 75TH STREET","NEW YORK",NY,,"107 West 75th Street","New York","New York",10023
1205360,"107-109-111 WEST 82ND STREET","NEW YORK",NY,,"107 West 82nd Street","New York","New York",10024
1205361,"107-15 71ST ROAD","FOREST HILLS",NY,,"107-15 71st Road",Queens,"New York",11375
1205362,"107/11 EAST 30TH STREET","NEW YORK",NY,10016,"11 East 30th Street","New York","New York",10016
1205363,"1070 ANDERSON AVENUE",BRONX,NY,,"1070 Anderson Avenue",Bronx,"New York",10452
1205364,"1070 OLD NORTHERN BLVD",ROSLYN,NY,,"1070 Old Northern Boulevard",Roslyn,"New York",11576
1205365,"1070/76 PARK AVENUE","NEW YORK",NY,10028,"76 Park Avenue","New York","New York",10035
1205366,"1071 BERGEN STREET",BROOKLYN,NY,,"1071 Bergen Street",Brooklyn,"New York",11216
1205367,"1072 GRAND CONCOURSE",BRONX,NY,10456,"1072 Grand Concourse",Bronx,"New York",10456
1205368,"1072 GRAND CONCOURSE",BRONX,NY,,"1072 Grand Concourse",Bronx,"New York",10456
1205369,"1073 NORTHER BLVD",ROSLYN,NY,,"1073 Northern Boulevard",Roslyn,"New York",11576
1205370,"1074 HOME STREET",BRONX,NY,10459,"1074 Home Street",Bronx,"New York",10459
1205371,"1074 LEXINGTON AVENUE","NEW YORK",NY,,"1074 Lexington Avenue","New York","New York",10021
1205372,"1075 BROADWAY",PLEASANTVILLE,NY,10570,"1075 Broadway",Pleasantville,"New York",10570
1205373,"1075 GERARD AVENUE",BRONX,NY,,"1075 Gerard Avenue",Bronx,"New York",10452
1205374,"1075 LONGFELLOW AVE",BRONX,NY,,"1075 Longfellow Avenue",Bronx,"New York",10459
1205375,"1075 OCEAN PARKWAY",BROOKLYN,NY,,"1075 Ocean Parkway",Brooklyn,"New York",11230
1205376,"1076 FAILE STREET",BRONX,NY,,"1076 Faile Street",Bronx,"New York",10459
1205377,"1076 TELLER AVE",BRONX,NY,,"1076 Teller Avenue",Bronx,"New York",10456
1205378,"1077 SOUTHERN BLVD",BRONX,NY,,"1077 Southern Boulevard",Bronx,"New York",10459
1205379,"1078-82 BEDFORD AVE",BROOKLYN,NY,11206,"1078 Bedford Avenue",Brooklyn,"New York",11216
1205380,"108 EAST 123RD STREET","NEW YORK",NY,,"108 East 123rd Street","New York","New York",10035
1205381,"108 EAST 17TH STREET","NEW YORK",NY,,"108 East 17th Street","New York","New York",10003
1205382,"108 EAST 17TH STREET","NEW YORK",NY,10003,"108 East 17th Street","New York","New York",10003
1205383,"108 EAST 81ST STREET","NEW YORK",NY,,"108 East 81st Street","New York","New York",10028
1205384,"108 EAST 91ST ST.","NEW YORK",NY,,"108 East 91st Street","New York","New York",10128
1205385,"108 KNICKERBOCKER AVE",BROOKLYN,NY,,"108 Knickerbocker Avenue",Brooklyn,"New York",11237
1205386,"108 SOUTH OXFORD STREET, AKA 773 FULTON STREET",BROOKLYN,NY,,"773 Fulton Street",Brooklyn,"New York",11217
1205387,"108 WEST 135TH STREET","NEW YORK",NY,,"108 West 135th Street","New York","New York",10030
1205388,"108 WEST 75TH STREET","NEW YORK",NY,,"108 West 75th Street","New York","New York",10023
1205389,"108-05 ASTORIA BLVD.","E. ELHMHURST",NY,,"108-05 Astoria Boulevard",Queens,"New York",11369
1205390,"108-10 WEST 25TH STREET","NEW YORK",NY,,"108 West 25th Street","New York","New York",10001
1205391,"108-14 EAST 89TH ST.","NEW YORK",NY,10022,"108 East 89th Street","New York","New York",10128
1205392,"1080 ANDERSON AVE",BRONX,NY,,"1080 Anderson Avenue",Bronx,"New York",10452
1205393,"1080 LEGGETT AVE",BRONX,NY,,"1080 Leggett Avenue",Bronx,"New York",10474
1205394,"1082 SOUTHERN BLVD",BRONX,NY,,"1082 Southern Boulevard",Bronx,"New York",10459
1205395,"1083 LONGFELLOW AVE",BRONX,NY,,"1083 Longfellow Avenue",Bronx,"New York",10459
1205396,"1084-86 HOME STREET",BRONX,NY,,"1084 Home Street",Bronx,"New York",10459
1205397,"1085 NELSON AVE",BRONX,NY,,"1085 Nelson Avenue",Bronx,"New York",10452
1205398,"1085 WARBURTON AVE",YONKERS,NY,
1205399,"1085 WARBURTON AVENUE",YONKERS,NY,,"1085 Warburton Avenue",Yonkers,"New York",10701
1205400,"1085 WASHINGTON AVENUE",BRONX,NY,,"1085 Washington Avenue",Bronx,"New York",10456
1205401,"1086 HERKIMER STREET",BROOKLYN,NY,,"1086 Herkimer Street",Brooklyn,"New York",11233
1205402,"109 EAST 10TH STREET, AKA 111 EAST 10TH STREET","NEW YORK",NY,10003,"70 East 10th Street","New York","New York",10003
1205403,"109 GOLD STREET",BROOKLYN,NY,,"109 Gold Street",Brooklyn,"New York",11201
1205404,"109 GREENE STREET","NEW YORK",NY,,"109 Greene Street","New York","New York",10012
1205405,"109 HILLSIDE PLACE",EASTCHESTER,NY,,"109 Hillside Place",Eastchester,"New York",10709
1205406,"109 ST MARKS PLACE","NEW YORK",NY,,"109 Saint Marks Place","New York","New York",10009
1205407,"109 WEST 117TH STREET","NEW YORK",NY,10026,"109 West 117th Street","New York","New York",10026
1205408,"109 WEST 225TH STREET","NEW YORK",NY,,"109 West 225th Street","New York","New York",10463
1205409,"109 WEST 225TH STREET","NEW YORK",NY,,"109 West 225th Street","New York","New York",10463
1205410,"109-08 JAMAICA AVENUE","RICHMOND HILL",NY,11418,"109-08 Jamaica Avenue",Queens,"New York",11418
1205411,"109-111 GREENE STREET","NEW YORK",NY,,"109 Greene Street","New York","New York",10012
1205412,"1090 FRANKLIN AVE",BRONX,NY,,"1090 Franklin Avenue",Bronx,"New York",10456
1205413,"1091 PROSPECT AVE",BRONX,NY,,"1091 Prospect Avenue",Bronx,"New York",10459
1205414,"1091 YONKERS AVE",YONKERS,NY,,"1091 Yonkers Avenue",Yonkers,"New York",10704
1205415,"1097/1099 WALTON AVENUE",BRONX,NY,,"1099 Walton Avenue",Bronx,"New York",10452
1205416,"11 1/2 EAST 129TH STREET","NEW YORK",NY,,"11 1/2 East 129th Street","New York","New York",10035
1205417,"11 BRONX RIVER ROAD",YONKERS,NY,,"11 Bronx River Road",Yonkers,"New York",10704
1205418,"11 BRUCKNER BLVD.",BRONX,NY,10454,"11 Bruckner Boulevard",Bronx,"New York",10454
1205419,"11 CHRISTOPHER STREET","NEW YORK",NY,,"11 Christopher Street","New York","New York",10014
1205420,"11 DASH PLACE",BRONX,NY,,"11 Dash Place",Bronx,"New York",10463
1205421,"11 EAST 44TH STREET, (15TH FLOOR)","NEW YORK",NY,,"11 East 44th Street","New York","New York",10017
1205422,"11 EAST 51ST STREET","NEW YORK",NY,,"11 East 51st Street","New York","New York",10022
1205423,"11 EAST 75TH STREET","NEW YORK",NY,,"11 East 75th Street","New York","New York",10021
1205424,"11 EAST FORDHAM ROAD",BRONX,NY,,"11 East Fordham Road",Bronx,"New York",10468
1205425,"11 FERRIS AVE","WHITE PLAINS",NY,10601,"11 Ferris Avenue","White Plains","New York",10603
1205426,"11 FRONT STREET",BROOKLYN,NY,,"11 Front Street",Brooklyn,"New York",11201
1205427,"11 GATES AVE",BROOKLYN,NY,,"11 Gates Avenue",Brooklyn,"New York",11238
1205428,"11 LISPENARD STREET","NEW YORK",NY,,"11 Lispenard Street","New York","New York",10013
1205429,"11 LONGVIEW AVE","WHITE PLAINS",NY,10601,"11 Longview Avenue","White Plains","New York",10601
1205430,"11 OLD BROADWAY","NEW YORK",NY,,"11 Old Broadway","New York","New York",10027
1205431,"11 RIVINGTON STREET","NEW YORK",NY,,"11 Rivington Street","New York","New York",10002
1205432,"11 RYE RIDGE PLAZA","RYE BROOK",NY,,"11 Rye Ridge Plaza","Rye Brook","New York",10573
1205433,"11 TROUTMAN STREET",BROOKLYN,NY,,"11 Troutman Street",Brooklyn,"New York",11206
1205434,"11 WEST 103RD STREET","NEW YORK",NY,,"11 West 103rd Street","New York","New York",10025
1205435,"11 WEST 103RD STREET","NEW YORK",NY,,"11 West 103rd Street","New York","New York",10025
1205436,"11 WEST 10TH STREET","NEW YORK",NY,,"11 West 10th Street","New York","New York",10011
1205437,"11 WEST 19TH STREET, 11TH FLOOR","NEW YORK",NY,,"11 West 19th Street","New York","New York",10011
1205438,"11 WEST 53RD STREET","NEW YORK",NY,,"11 West 53rd Street","New York","New York",10019
1205439,"11-15 BROADWAY",ASTORIA,NY,,"11-15 Broadway",Queens,"New York",11106
1205440,"11-23 ST CASIMIR AVE",YONKERS,NY,,"11 Saint Casimir Avenue",Yonkers,"New York",10701
1205441,"11-23 ST. CASIMIR AVE",YONKERS,NY,10701,"11 Saint Casimir Avenue",Yonkers,"New York",10701
1205442,"11-49 44TH RD","LONG IS CITY",NY,,"11-49 44th Road",Queens,"New York",11101
1205443,"11/29 RYERSON STREET",BROOKLYN,NY,11205,"29 Ryerson Street",Brooklyn,"New York",11205
1205444,"110 BLOOMINGDALE RD","WHITE PLAINS",NY,,"110 Bloomingdale Road","White Plains","New York",10605
1205445,"110 CHAMBERS STREET","NEW YORK",NY,,"110 Chambers Street","New York","New York",10007
1205446,"110 EAST 138TH STREET",BRONX,NY,10451,"110 East 138th Street",Bronx,"New York",10451
1205447,"110 EAST 170TH STREET",BRONX,NY,,"110 East 170th Street",Bronx,"New York",10452
1205448,"110 EAST 177TH STREET","BRONX, NY",NY,,"110 East 177th Street",Bronx,"New York",10453
1205449,"110 EAST 17TH STREET","NEW YORK",NY,,"110 East 17th Street","New York","New York",10003
1205450,"110 EAST 17TH STREET","NEW YORK",NY,,"110 East 17th Street","New York","New York",10003
1205451,"110 EAST 17TH STREET","NEW YORK",NY,10003,"110 East 17th Street","New York","New York",10003
1205452,"110 EAST 71ST STREET","NEW YORK",NY,,"110 East 71st Street","New York","New York",10021
1205453,"110 EAST 87TH ST.","NEW YORK",NY,,"110 East 87th Street","New York","New York",10128
1205454,"110 EAST 88TH STREET","NEW YORK",NY,,"110 East 88th Street","New York","New York",10128
1205455,"110 EAST 97TH STREET","NEW YORK",NY,,"110 East 97th Street","New York","New York",10029
1205456,"110 FISHER AVE",EASTCHESTER,NY,,"110 Fisher Avenue",Eastchester,"New York",10709
1205457,"110 MAIN STREET",TUCKAHOE,NY,,"110 Main Street",Tuckahoe,"New York",10707
1205458,"110 NEW YORK AVE",BROOKLYN,NY,,"110 New York Avenue",Brooklyn,"New York",11216
1205459,"110 OREGON ROAD","CORTLANDT MANOR",NY,10567,"110 Oregon Road",Cortlandt,"New York",10567
1205460,"110 SHONNARD PLACE",YONKERS,NY,,"110 Shonnard Place",Yonkers,"New York",10703
1205461,"110 WALL STREET","NEW YORK",NY,,"110 Wall Street","New York","New York",10005
1205462,"110 WEST 137TH STREET","NEW YORK",NY,,"110 West 137th Street","New York","New York",10030
1205463,"110 WEST 26TH STREET","NEW YORK",NY,,"110 West 26th Street","New York","New York",10001
1205464,"110 WEST 34TH STREET","NEW YORK",NY,,"110 West 34th Street","New York","New York",10001
1205465,"110 WEST 73RD STREET","NEW YORK",NY,,"110 West 73rd Street","New York","New York",10023
1205466,"110 WOOSTER STREET","NEW YORK",NY,,"110 Wooster Street","New York","New York",10012
1205467,"110-31 MERRICK BLVD",QUEENS,NY,,"110-31 Merrick Boulevard",Queens,"New York",11433
1205468,"110-35 164TH PLACE",JAMAICA,NY,,"110-35 164th Place",Queens,"New York",11433
1205469,"1100 AMUSO DRIVE",MT.KISCO,NY,10549,"1100 Amuso Drive","Mount Kisco","New York",10549
1205470,"1100 FRANKLIN AVE",BRONX,NY,,"1100 Franklin Avenue",Bronx,"New York",10456
1205471,"1100 GRAND CONCOURSE",BRONX,NY,,"1100 Grand Concourse",Bronx,"New York",10456
1205472,"1100 KINGS HWY",BROOKLYN,NY,,"1100 Kings Highway",Brooklyn,"New York",11229
1205473,"1100 MIDDLE COUNTRY RD",SELDEN,NY,,"1100 Middle Country Road",Selden,"New York",11784
1205474,"1100 OAK POINT AVENUE",BRONX,NY,,"1100 Oak Point Avenue",Bronx,"New York",10474
1205475,"1100 STEWART AVENUE","GARDEN CITY",NY,,"1100 Stewart Avenue","Garden City","New York",11530
1205476,"1100 WEST FARMS RD",BRONX,NY,,"1100 West Farms Road",Bronx,"New York",10459
1205477,"11000 FLATLANDS AVENUE",BROOKLYN,NY,11207,"11000 Flatlands Avenue",Brooklyn,"New York",11207
1205478,"1101 BOSTON ROAD",BRONX,NY,10456,"1101 Boston Road",Bronx,"New York",10456
1205479,"1101 EAST 177TH STREET",BRONX,NY,,"1101 East 177th Street",Bronx,"New York",10460
1205480,"1101 MIDLAND AVE",YONKERS,NY,,"1101 Midland Avenue",Yonkers,"New York",10708
1205481,"1101 MIDLAND AVENUE",YONKERS,NY,,"1101 Midland Avenue",Yonkers,"New York",10708
1205482,"1101 PELHAM PARKWAY NORTH",BRONX,NY,10461,"1101 Pelham Parkway North",Bronx,"New York",10469
1205483,"1101 STEWART STREET","GARDEN CITY",NY,,"1101 Stewart Avenue","Garden City","New York",11530
1205484,"1101 UNION STREET",BROOKLYN,NY,,"1101 Union Street",Brooklyn,"New York",11225
1205485,"1101-35 WEBSTER AVE.",BRONX,NY,10456,"1101 Webster Avenue",Bronx,"New York",10456
1205486,"1103 EAST 34TH STREET",BROOKLYN,NY,,"1103 East 34th Street",Brooklyn,"New York",11210
1205487,"1104 ELDER AVE",BRONX,NY,,"1104 Elder Avenue",Bronx,"New York",10472
1205488,"1105 COLLEGE AVENUE",BRONX,NY,,"1105 College Avenue",Bronx,"New York",10456
1205489,"1105 ELDER AVE",BRONX,NY,,"1105 Elder Avenue",Bronx,"New York",10472
1205490,"1105/1109 MADISON STREET",BROOKLYN,NY,11221,"1109 Madison Street",Brooklyn,"New York",11221
1205491,"1106 COLLEGE AVENUE",BRONX,NY,,"1106 College Avenue",Bronx,"New York",10456
1205492,"1106 WEST FARMS RD",BRONX,NY,,"1106 West Farms Road",Bronx,"New York",10459
1205493,"1108 FINDLAY AVENUE",BRONX,NY,,"1108 Findlay Avenue",Bronx,"New York",10456
1205494,"1108 ZEREGA AVE.",BRONX,NY,,"1108 Zerega Avenue",Bronx,"New York",10462
1205495,"1109 CLAY AVENUE",BRONX,NY,,"1109 Clay Avenue",Bronx,"New York",10456
1205496,"1109 FRANKLIN AVE.",BRONX,NY,,"1109 Franklin Avenue",Bronx,"New York",10456
1205497,"1109 MADISON STREET",BROOKLYN,NY,,"1109 Madison Street",Brooklyn,"New York",11221
1205498,"1109 MANHATTAN AVE",BROOKLYN,NY,,"1109 Manhattan Avenue",Brooklyn,"New York",11222
1205499,"111 &amp; 113 SULLIVAN STREET","NEW YORK",NY,10016
1205500,"111 5TH AVENUE","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205501,"111 5TH AVENUE, 3RD FLOOR","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205502,"111 5TH AVENUE, 2ND FLOOR","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205503,"111 5TH AVENUE","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205504,"111 5TH AVENUE, 5TH FLOOR","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205505,"111 5TH AVENUE","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205506,"111 5TH AVENUE, LOBBY","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205507,"111 5TH AVENUE","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205508,"881 BROADWAY","NEW YORK",NY,,"881 Broadway","New York","New York",10003
1205509,"111 BARROW STREET","NEW YORK",NY,,"111 Barrow Street","New York","New York",10014
1205510,"111 BRUCE AVE",YONKERS,NY,10456,"111 Bruce Avenue",Yonkers,"New York",10705
1205511,"111 CLAY STREET",BROOKLYN,NY,,"111 Clay Street",Brooklyn,"New York",11222
1205512,"111 CLYMER STREET",BROOKLYN,NY,,"111 Clymer Street",Brooklyn,"New York",11249
1205513,"111 EAST 100TH STREET","NEW YORK",NY,10029,"111 East 100th Street","New York","New York",10029
1205514,"111 EAST 10TH STREET","NEW YORK",NY,10003,"111 East 10th Street","New York","New York",10003
1205515,"111 EAST 10TH STREET","NEW YORK",NY,,"111 East 10th Street","New York","New York",10003
1205516,"111 EAST 210TH STREET",BRONX,NY,10467,"111 East 210th Street",Bronx,"New York",10467
1205517,"111 EAST 210TH STREET",BRONX,NY,,"111 East 210th Street",Bronx,"New York",10467
1205518,"111 EAST 39TH STREET","NEW YORK",NY,,"111 East 39th Street","New York","New York",10016
1205519,"111 EAST 48TH STREET","NEW YORK",NY,10017,"111 East 48th Street","New York","New York",10017
1205520,"111 EAST 59TH STREET","NEW YORK",NY,,"111 East 59th Street","New York","New York",10022
1205521,"111 EAST 61ST STREET","NEW YORK",NY,,"111 East 61st Street","New York","New York",10065
1205522,"111 EAST 61ST STREET","NEW YORK",NY,,"111 East 61st Street","New York","New York",10065
1205523,"111 EAST 75TH STREET","NEW YORK",NY,10014,"111 East 75th Street","New York","New York",10021
1205524,"111 FIFTH AVENUE","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205525,"111 FIFTH AVENUE","NEW YORK",NY,,"111 5th Avenue","New York","New York",10011
1205526,"111 HICK STREET, A.K.A. 43 CLARK ST.",BROOKLYN,NY,11201,"111 Hicks Street",Brooklyn,"New York",11201
1205527,"111 LOCKWOOD AVENUE","NEW ROCHELLE",NY,,"111 Lockwood Avenue","New Rochelle","New York",10801
1205528,"111 PUTNAM AVENUE",BROOKLYN,NY,,"111 Putnam Avenue",Brooklyn,"New York",11238
1205529,"111 READE STREET","NEW YORK",NY,,"111 Reade Street","New York","New York",10013
1205530,"111 VALENTINE LANE",YONKERS,NY,10705,"111 Valentine Lane",Yonkers,"New York",10705
1205531,"111 WEST 106TH STREET","NEW YORK",NY,,"111 West 106th Street","New York","New York",10025
1205532,"111 WEST 74TH STREET","NEW YORK",NY,,"111 West 74th Street","New York","New York",10023
1205533,"111 WINDING RIDGE","WHITE PLAINS",NY,,"111 Winding Ridge Road","White Plains","New York",10603
1205534,"111-39 76TH ROAD","FOREST HILLS",NY,,"111-39 76th Road",Queens,"New York",11375
1205535,"1111 FATHER CAPPODANNO BLVD.","STATEN ISLAND",NY,,"1111 Father Capodanno Boulevard","Staten Island","New York",10306
1205536,"1111 FRANKLIN AVE","GARDEN CITY",NY,,"1111 Franklin Avenue","Garden City","New York",11530
1205537,"1111 GERARD AVE.",BRONX,NY,10451,"1111 Gerard Avenue",Bronx,"New York",10452
1205538,"1111 MIDLAND AVE",BRONXVILLE,NY,,"1111 Midland Avenue",Yonkers,"New York",10708
1205539,"1112 BROOK AVENUE",BRONX,NY,,"1112 Brook Avenue",Bronx,"New York",10456
1205540,"1113 SHERIDAN AVENUE",BRONX,NY,,"1113 Sheridan Avenue",Bronx,"New York",10456
1205541,"1114 6TH AVENUE","NEW YORK",NY,,"1114 6th Avenue","New York","New York",10036
1205542,"1115 BROADWAY, 3RD FLOOR","NEW YORK",NY,,"1115 Broadway","New York","New York",10010
1205543,"1115 COLLEGE AVE",BRONX,NY,,"1115 College Avenue",Bronx,"New York",10456
1205544,"1115 UNION STREET",BROOKLYN,NY,,"1115 Union Street",Brooklyn,"New York",11225
1205545,"1115 WARD AVE",BRONX,NY,,"1115 Ward Avenue",Bronx,"New York",10472
1205546,"1115 WESTCHESTER AVE.",BRONX,NY,,"1115 Westchester Avenue",Bronx,"New York",10459
1205547,"1117-23 WESTCHESTER AVE",BRONX,NY,,"1117 Westchester Avenue",Bronx,"New York",10459
1205548,"1118 SOUTHERN BLVD",BRONX,NY,,"1118 Southern Boulevard",Bronx,"New York",10459
1205549,"1118 WHITE PLAINS RD",BRONX,NY,,"1118 White Plains Road",Bronx,"New York",10472
1205550,"1119/1135 WEBSTER AVENUE",BRONX,NY,10456,"1135 Webster Avenue",Bronx,"New York",10456
1205551,"112 BRUCKNER BLVD",BRONX,NY,,"112 Bruckner Boulevard",Bronx,"New York",10454
1205552,"112 BRUCKNER BLVD.",BRONX,NY,,"112 Bruckner Boulevard",Bronx,"New York",10454
1205553,"112 CHARLTON STREET","NEW YORK",NY,,"112 Charlton Street","New York","New York",10014
1205554,"112 FIRST AVE","NEW YORK",NY,,"112 1st Avenue","New York","New York",10009
1205555,"112 HENWOOD PLACE",BRONX,NY,,"112 Henwood Place",Bronx,"New York",10453
1205556,"112 HENWOOD PLACE",BRONX,NY,,"112 Henwood Place",Bronx,"New York",10453
1205557,"112 WEST 113TH STREET","NEW YORK",NY,,"112 West 113th Street","New York","New York",10026
1205558,"112 WEST 81ST STREET","NEW YORK",NY,,"112 West 81st Street","New York","New York",10024
1205559,"112-30 EAST 119TH ST.","NEW YORK",NY,10035,"112 East 119th Street","New York","New York",10035
1205560,"1120 AVENUE OF THE AMERICAS","NEW YORK",NY,,"1120 6th Avenue","New York","New York",10036
1205561,"1120 CLAY AVENUE",BRONX,NY,,"1120 Clay Avenue",Bronx,"New York",10456
1205562,"1120 CLOSE AVENUE",BRONX,NY,10472,"1120 Close Avenue",Bronx,"New York",10472
1205563,"1120 GRANT AVE",BRONX,NY,,"1120 Grant Avenue",Bronx,"New York",10456
1205564,"1120 PARK AVE","NEW YORK",NY,,"1120 Park Avenue","New York","New York",10128
1205565,"1122 YONKERS AVE",YONKERS,NY,10704,"1122 Yonkers Avenue",Yonkers,"New York",10704
1205566,"1124 KINGS HIGHWAY",BROOKLYN,NY,,"1124 Kings Highway",Brooklyn,"New York",11229
1205567,"1125 BOSTON ROAD",BRONX,NY,,"1125 Boston Road",Bronx,"New York",10456
1205568,"1125 CLOSE AVE ",BRONX,NY,10472,"1125 Close Avenue",Bronx,"New York",10472
1205569,"1125 CLOSE AVE.",BRONX,NY,10472,"1125 Close Avenue",Bronx,"New York",10472
1205570,"1125 GRAND CONCOURSE",BRONX,NY,,"1125 Grand Concourse",Bronx,"New York",10452
1205571,"1125 LORIMER STREET",BROOKLYN,NY,,"1125 Lorimer Street",Brooklyn,"New York",11222
1205572,"1125 TELLER AVENUE",BRONX,NY,,"1125 Teller Avenue",Bronx,"New York",10456
1205573,"1125-27 SHERIDAN AVE",BRONX,NY,,"1125 Sheridan Avenue",Bronx,"New York",10456
1205574,"1128 SHERMAN AVENUE",BRONX,NY,10456,"1128 Sherman Avenue",Bronx,"New York",10456
1205575,"1129 VYSE AVENUE",BRONX,NY,,"1129 Vyse Avenue",Bronx,"New York",10459
1205576,"113 BEEKMAN STREET","NEW YORK",NY,,"113 Beekman Street","New York","New York",10038
1205577,"113 EAST 73RD STREET","NEW YORK",NY,,"113 East 73rd Street","New York","New York",10021
1205578,"113-11 JAMAICA AVE","RICHMOND HILL",NY,,"113-11 Jamaica Avenue",Queens,"New York",11418
1205579,"113-115 EAST 10TH STREET","NEW YORK",NY,10003,"113 East 10th Street","New York","New York",10003
1205580,"113-121 PRINCE STREET","NEW YORK",NY,,"113 Prince Street","New York","New York",10012
1205581,"113-121 PRINCE STREET","NEW YORK",NY,,"113 Prince Street","New York","New York",10012
